M2ID	SAMPLMAJ	B1PWGHT1	B1PWGHT2	B1PWGHT3	B1PWGHT4	B1PWGHT5	B1PWGHT6	B1PWGHT7	B1PWGHT8	B1PWGHT9
10002	1	.53	.53	.54	.9	.99	.7	.77	.99	.54
10014	1	1.22	1.11	1.07	1.24	.99	.88	1.22	.99	1.08
10019	1	.75	.83	.91	.82	.99	1.13	.77	.99	.88
10020	1	.88	.83	.78	1.22	1.01	.88	.87	.99	.8
10023	1	.73	.58	.62	1.24	1.01	.96	.87	.99	.58
10024	1	.7	.83	.91	.9	.99	1.13	.77	.99	.88
10027	1	.95	1.1	1.15	.9	1.01	1.13	.87	.99	1.17
10034	1	1.05	.81	1.5	1.22	.99	1.24	.77	.9	1.15
10035	1	1.97	2.28	2.02	.9	1.01	.96	1.84	1.28	1.23
10039	1	.7	.83	 	.9	.99	1.13	.77	 	 
10040	1	.97	1.13	1.15	.82	.99	1.13	.87	.99	1.12
10042	1	.58	.72	.64	.9	1.01	.88	.77	.99	.72
10047	1	2.15	1.22	1.3	1.22	1.01	1.13	1.22	.99	1.2
10050	1	.84	1	1.14	.9	1.01	1.24	.87	.99	1.1
10053	1	1.05	.81	.89	1.22	.99	1.24	.77	.99	.75
10060	1	.75	.59	.64	1.24	.99	.88	.77	.99	.58
10061	1	.53	.46	.6	.9	.99	.96	.77	.99	.45
10065	1	.54	.72	.64	.82	1.01	.88	.77	.99	.72
10066	1	.73	.83	1.12	.9	1.01	.88	.87	.9	1.19
10085	1	.84	.81	.89	.82	.99	1.24	.77	.99	.75
10098	1	.88	.83	.78	1.22	1.01	.88	.87	.99	.8
10100	1	.75	.83	.91	.82	.99	1.13	.77	.99	.88
10107	1	.75	.59	.64	1.24	.99	.88	.77	.99	.58
10108	1	1.19	.95	.91	1.24	1.01	1.13	.77	.99	.95
10112	1	1.46	1.29	1.37	.9	1.01	1.24	1.22	.9	1.2
10117	1	.55	.76	1.16	.82	.99	.7	.87	1.28	.74
10120	1	1.51	1.45	1.3	.9	.99	1.13	1.22	.99	1.41
10130	1	1.19	.83	.91	1.24	.99	1.13	.77	.99	.88
10131	1	1.27	1.16	1.33	1.22	.99	.7	1.84	.99	1.36
10134	1	.75	.72	.64	1.22	1.01	.88	.77	.99	.72
10137	1	.58	.59	.64	.9	.99	.88	.77	.99	.58
10145	1	1.27	1.12	.89	1.22	1.01	.7	1.84	1.28	.88
10147	1	1.27	1.1	1.15	1.22	1.01	1.13	.87	.99	1.17
10154	1	.73	.83	1.12	.9	1.01	.88	.87	.9	1.19
10156	1	.4	.55	.54	.82	1.01	.7	.77	.99	.54
10158	1	.94	1.11	1.07	.9	.99	.88	1.22	.99	1.08
10162	1	.51	.42	.52	1.22	1.01	.7	.87	.99	.41
10164	1	.76	1.2	1.08	.82	1.01	.96	1.22	.99	1.17
10170	1	1.03	1.1	1.14	1.24	.99	1.24	.87	.99	1.18
10174	1	1.12	1.16	1.33	.82	.99	.7	1.84	.99	1.36
10186	1	.97	1.1	1.15	.82	1.01	1.13	.87	.99	1.17
10189	1	.74	.85	.83	.9	1.01	.7	1.22	.99	.87
10195	1	1.04	1.1	1.14	.82	.99	1.24	.87	.99	1.18
10197	1	.54	.55	.58	1.22	1.01	.7	.77	.9	.66
10199	1	1.4	1.6	1.15	.9	.99	1.13	1.84	1.28	1.86
10201	1	1.22	1.11	1.07	1.24	.99	.88	1.22	.99	1.08
10211	1	.74	.85	.83	.9	1.01	.7	1.22	.99	.87
10219	1	1.54	1.1	1.14	1.22	.99	1.24	.87	.99	1.18
10223	1	.7	.83	.74	.9	.99	1.13	.77	.9	.42
